date,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity
2020-06-26,12,13,2,3,74,30,104,3726214
2020-06-27,12,9,5,0,50,26,76,1221810
2020-06-28,14,11,4,2,45,31,76,2019398
2020-06-29,18,16,4,1,58,39,97,1642325
2020-06-30,13,17,8,0,56,38,94,2155551
2020-07-01,12,10,3,3,36,28,64,2151802
2020-07-02,14,12,7,2,40,35,75,1656707
2020-07-03,13,17,4,0,56,34,90,2878467
2020-07-04,13,21,3,2,45,39,84,3452998
2020-07-05,12,12,8,1,57,33,90,2338572
2020-07-06,13,8,3,1,46,25,71,2824055
2020-07-07,13,12,9,1,65,35,100,3091186
2020-07-08,13,8,4,1,42,26,68,1539979
2020-07-09,18,16,2,0,44,36,80,1940791
2020-07-10,8,11,4,3,49,26,75,2795331
2020-07-11,11,12,5,2,58,30,88,3542546
2020-07-12,13,10,4,0,51,27,78,2529586
2020-07-13,13,13,3,3,53,32,85,2670738
2020-07-14,9,15,3,2,54,29,83,3074762
2020-07-15,12,15,2,0,51,29,80,2567800
2020-07-16,10,10,4,1,47,25,72,2401403
2020-07-17,10,11,6,1,54,28,82,2500649
2020-07-18,11,19,3,1,52,34,86,2266617
2020-07-19,10,15,2,0,46,27,73,1903441
2020-07-20,14,12,4,2,57,32,89,2515976
2020-07-21,12,8,4,1,51,25,76,2727732
2020-07-22,12,13,3,1,44,29,73,1444111
2020-07-23,13,7,1,3,48,24,72,2230585
2020-07-24,10,21,4,3,56,38,94,2660426
2020-07-25,14,10,5,0,62,29,91,3144548
2020-07-26,17,16,3,2,61,38,99,1849601
2020-07-27,9,19,3,3,57,34,91,2100213
2020-07-28,4,9,4,3,50,20,70,2790850
2020-07-29,23,13,3,0,45,39,84,2284795
2020-07-30,11,15,4,2,66,32,98,3124813
2020-07-31,12,13,4,3,57,32,89,2495182
2020-08-01,11,13,5,1,55,30,85,2131274
2020-08-02,14,13,3,2,51,32,83,2869621
2020-08-03,10,18,4,0,60,32,92,2680567
2020-08-04,17,13,3,2,65,35,100,3187831
2020-08-05,11,17,3,2,47,33,80,3207724
2020-08-06,19,14,4,3,65,40,105,2380417
2020-08-07,11,11,8,1,52,31,83,4038020
2020-08-08,10,13,3,0,64,26,90,2336258
2020-08-09,17,14,3,2,50,36,86,1913545
2020-08-10,9,14,5,1,50,29,79,1603403
2020-08-11,11,10,1,1,58,23,81,3182898
2020-08-12,9,13,2,0,62,24,86,2851726
2020-08-13,19,13,6,3,46,41,87,2213151
2020-08-14,11,22,4,0,58,37,95,2554737
2020-08-15,11,19,5,1,75,36,111,3461918
2020-08-16,19,9,2,2,56,32,88,3782313
2020-08-17,11,16,4,2,43,33,76,1313447
2020-08-18,13,12,7,2,56,34,90,3090191
2020-08-19,15,16,4,3,47,38,85,1836072
2020-08-20,15,21,3,2,59,41,100,3008080
2020-08-21,14,8,4,0,41,26,67,1569866
2020-08-22,8,14,3,0,42,25,67,2739866
2020-08-23,15,19,2,0,56,36,92,2125308
2020-08-24,9,10,0,0,48,19,67,1475956
2020-08-25,6,9,3,1,55,19,74,2508937
2020-08-26,8,13,4,0,45,25,70,2669996
2020-08-27,11,18,6,4,49,39,88,1763617
2020-08-28,16,17,3,0,36,36,72,2022808
2020-08-29,17,15,2,3,48,37,85,2120499
2020-08-30,12,19,6,3,51,40,91,2018891
2020-08-31,15,12,3,1,42,31,73,2314831
2020-09-01,16,12,3,3,55,34,89,3099142
2020-09-02,15,20,6,0,43,41,84,1940153
2020-09-03,10,16,7,2,45,35,80,2195789
2020-09-04,11,9,2,1,62,23,85,3457886
2020-09-05,9,14,2,3,54,28,82,1680506
2020-09-06,22,19,4,2,46,47,93,1855581
2020-09-07,16,22,2,0,61,40,101,2218753
2020-09-08,13,16,1,2,51,32,83,2014840
2020-09-09,12,19,3,2,50,36,86,2813344
2020-09-10,15,19,4,3,46,41,87,3091949
2020-09-11,7,14,5,3,58,29,87,1868241
2020-09-12,20,17,8,1,57,46,103,3515227
2020-09-13,9,12,4,2,62,27,89,3172768
2020-09-14,13,16,2,0,38,31,69,960631
2020-09-15,10,13,3,1,47,27,74,2550098
2020-09-16,16,19,6,1,53,42,95,2079174
2020-09-17,18,14,5,1,56,38,94,3588851
2020-09-18,12,14,3,1,53,30,83,2012146
2020-09-19,16,24,7,0,42,47,89,885707
2020-09-20,13,14,5,4,63,36,99,3003517
2020-09-21,23,21,8,1,53,53,106,2552761
2020-09-22,12,23,5,1,55,41,96,2451012
2020-09-23,9,14,3,2,46,28,74,2492701
2020-09-24,17,16,5,3,62,41,103,2710837
2020-09-25,15,20,3,2,60,40,100,2613263
2020-09-26,18,17,2,1,43,38,81,1940307
2020-09-27,16,23,3,1,61,43,104,2621819
2020-09-28,18,21,11,1,44,51,95,2403246
2020-09-29,10,14,6,1,40,31,71,1592143
2020-09-30,16,18,5,0,57,39,96,2048238
2020-10-01,17,16,3,2,51,38,89,2358370
2020-10-02,10,17,3,4,59,34,93,2815671
2020-10-03,18,18,5,3,64,44,108,3764264
2020-10-04,11,18,2,3,51,34,85,1237139
2020-10-05,13,19,4,1,51,37,88,2734681
2020-10-06,10,9,3,0,73,22,95,2748642
2020-10-07,12,15,5,2,59,34,93,2703570
2020-10-08,20,15,8,3,61,46,107,2520061
2020-10-09,10,23,4,0,53,37,90,3604504
2020-10-10,10,22,6,0,50,38,88,1962124
2020-10-11,15,16,4,1,41,36,77,1327772
2020-10-12,15,13,1,1,45,30,75,1422285
2020-10-13,15,13,3,0,41,31,72,1610421
2020-10-14,8,13,0,0,40,21,61,1208268
2020-10-15,10,18,2,2,68,32,100,3961997
2020-10-16,12,14,1,2,47,29,76,2727421
2020-10-17,10,22,3,2,47,37,84,2788877
2020-10-18,5,11,0,6,58,22,80,2603682
2020-10-19,15,14,6,1,44,36,80,1952080
2020-10-20,10,16,11,1,51,38,89,1959907
2020-10-21,17,13,1,1,60,32,92,2816353
2020-10-22,9,16,3,3,52,31,83,2573631
2020-10-23,14,26,4,4,59,48,107,2636260
2020-10-24,12,16,6,2,63,36,99,2378150
2020-10-25,12,14,2,2,46,30,76,2457165
2020-10-26,15,20,5,2,60,42,102,2307375
2020-10-27,13,17,4,2,57,36,93,1826288
2020-10-28,18,13,0,3,53,34,87,1366325
2020-10-29,14,16,2,1,41,33,74,2141110
2020-10-30,9,17,4,2,59,32,91,2319627
2020-10-31,20,17,5,1,44,43,87,2653425
2020-11-01,16,14,6,2,56,38,94,3811060
2020-11-02,12,12,5,1,58,30,88,3056124
2020-11-03,8,12,3,3,50,26,76,2971056
2020-11-04,14,20,4,0,49,38,87,2729630
2020-11-05,17,16,5,3,49,41,90,2149164
2020-11-06,12,11,2,2,43,27,70,1036745
2020-11-07,13,15,3,0,48,31,79,2592207
2020-11-08,10,8,2,1,50,21,71,2825924
2020-11-09,11,10,5,0,44,26,70,2316892
2020-11-10,12,16,3,2,61,33,94,1953994
2020-11-11,12,20,3,1,55,36,91,2881937
2020-11-12,9,12,2,3,52,26,78,1584961
2020-11-13,8,11,1,3,39,23,62,1962871
2020-11-14,7,14,2,0,35,23,58,1357816
2020-11-15,10,10,4,0,35,24,59,493426
2020-11-16,8,17,0,1,33,26,59,1201530
2020-11-17,9,12,2,1,43,24,67,1614011
2020-11-18,7,9,3,4,43,23,66,1409489
2020-11-19,9,16,2,1,41,28,69,592202
2020-11-20,11,17,3,2,36,33,69,1012158
2020-11-21,12,12,3,0,42,27,69,2005408
2020-11-22,9,16,2,0,41,27,68,1422519
2020-11-23,8,9,3,2,35,22,57,601609
2020-11-24,10,14,5,0,31,29,60,731153
2020-11-25,12,12,2,1,49,27,76,1168443
2020-11-26,7,13,0,1,37,21,58,976617
2020-11-27,7,14,7,1,49,29,78,1634269
2020-11-28,8,9,3,2,49,22,71,1354624
2020-11-29,8,8,2,2,38,20,58,900213
2020-11-30,9,14,2,2,40,27,67,610431
2020-12-01,11,13,6,2,37,32,69,1266067
2020-12-02,14,12,3,2,55,31,86,2466662
2020-12-03,10,14,4,2,63,30,93,3703107
2020-12-04,11,9,6,4,53,30,83,2369792
2020-12-05,14,6,4,0,49,24,73,2829135
2020-12-06,11,6,3,0,30,20,50,1607686
2020-12-07,6,10,1,0,49,17,66,1925296
2020-12-08,13,11,4,1,34,29,63,447666
2020-12-09,7,15,0,0,40,22,62,1751420
2020-12-10,11,13,1,1,37,26,63,1022081
2020-12-11,8,10,2,1,46,21,67,2480190
2020-12-12,2,13,2,2,39,19,58,1329573
2020-12-13,7,14,4,2,38,27,65,432260
2020-12-14,12,9,0,2,42,23,65,915029
2020-12-15,13,13,2,2,34,30,64,1496545
2020-12-16,11,19,4,1,36,35,71,1418588
2020-12-17,9,5,2,1,48,17,65,1761503
2020-12-18,5,17,2,2,33,26,59,1098811
2020-12-19,9,13,4,2,37,28,65,1073779
2020-12-20,15,9,1,1,43,26,69,1437592
2020-12-21,8,12,2,0,41,22,63,1724767
2020-12-22,9,6,2,2,38,19,57,1908846
2020-12-23,14,10,2,3,43,29,72,1993359
2020-12-24,10,11,1,1,41,23,64,943547
2020-12-25,11,15,6,2,40,34,74,2001170
2020-12-26,11,5,0,0,54,16,70,1031176
2020-12-27,8,9,2,0,41,19,60,1419298
2020-12-28,15,16,0,1,34,32,66,497814
2020-12-29,6,11,2,1,43,20,63,1560009
2020-12-30,11,14,4,4,52,33,85,1510371
2020-12-31,17,8,3,1,42,29,71,2225421
2021-01-01,7,18,3,1,42,29,71,476746
2021-01-02,14,13,5,2,44,34,78,1296630
2021-01-03,7,12,3,1,49,23,72,1654933
2021-01-04,13,5,2,3,41,23,64,1586270
2021-01-05,13,12,2,0,51,27,78,2181572
2021-01-06,7,14,6,2,50,29,79,1171328
2021-01-07,12,8,2,0,41,22,63,2011202
2021-01-08,9,14,1,2,35,26,61,1069636
2021-01-09,7,13,0,3,44,23,67,1449602
2021-01-10,5,6,3,2,37,16,53,592415
2021-01-11,10,15,3,0,42,28,70,782214
2021-01-12,10,9,7,1,39,27,66,1384872
2021-01-13,6,17,4,1,38,28,66,1547790
2021-01-14,11,12,1,2,43,26,69,1771054
2021-01-15,12,17,4,0,51,33,84,1597390
2021-01-16,10,15,4,1,47,30,77,2267148
2021-01-17,6,10,4,2,49,22,71,2131706
2021-01-18,16,16,7,1,51,40,91,2804360
2021-01-19,12,32,11,3,58,58,116,3173141
2021-01-20,10,13,3,3,57,29,86,2900872
2021-01-21,14,13,4,1,52,32,84,3294388
2021-01-22,12,10,3,3,33,28,61,1193556
2021-01-23,10,9,2,0,38,21,59,1095530
2021-01-24,7,12,0,1,30,20,50,621296
2021-01-25,10,9,1,0,52,20,72,3104678
2021-01-26,7,13,3,4,44,27,71,2786841
2021-01-27,14,11,6,0,67,31,98,2570280
2021-01-28,10,8,2,1,49,21,70,2763582
2021-01-29,13,23,5,0,52,41,93,2111310
2021-01-30,13,16,3,2,40,34,74,1760535
2021-01-31,10,12,4,5,52,31,83,3265416
2021-02-01,19,8,5,1,37,33,70,1688528
2021-02-02,7,12,3,2,36,24,60,1075793
2021-02-03,7,10,2,4,58,23,81,3177301
2021-02-04,15,12,4,0,55,31,86,2722674
2021-02-05,16,8,4,0,48,28,76,2271663
2021-02-06,9,10,3,2,46,24,70,2976264
2021-02-07,7,9,2,1,41,19,60,1874641
2021-02-08,7,10,4,0,42,21,63,2074822
2021-02-09,10,6,2,2,56,20,76,2081019
2021-02-10,10,16,5,2,38,33,71,1656967
2021-02-11,16,14,5,5,44,40,84,2150509
2021-02-12,7,13,5,2,61,27,88,3240634
2021-02-13,15,11,3,0,48,29,77,2174996
2021-02-14,9,11,5,1,55,26,81,2806589
2021-02-15,14,20,3,0,64,37,101,2439260
2021-02-16,17,9,6,2,43,34,77,2441568
2021-02-17,13,16,5,2,46,36,82,1918605
2021-02-18,14,13,0,3,44,30,74,2309731
2021-02-19,15,11,4,2,45,32,77,2602065
2021-02-20,13,12,5,0,43,30,73,1619812
2021-02-21,10,10,4,0,29,24,53,823222
2021-02-22,15,11,1,2,42,29,71,1403481
2021-02-23,12,11,4,3,49,30,79,3010599
2021-02-24,11,9,4,1,44,25,69,1558609
2021-02-25,12,9,2,1,50,24,74,2264905
2021-02-26,13,8,1,1,40,23,63,2080722
2021-02-27,9,14,2,2,45,27,72,1212463
2021-02-28,8,13,2,1,26,24,50,381517
2021-03-01,15,12,1,2,47,30,77,1675706
2021-03-02,14,16,2,3,40,35,75,2157780
2021-03-03,13,17,4,1,48,35,83,2067718
2021-03-04,10,8,4,0,51,22,73,2494818
2021-03-05,11,16,0,1,40,28,68,1919734
2021-03-06,16,13,6,1,39,36,75,2367935
2021-03-07,5,9,1,2,32,17,49,1311374
2021-03-08,12,15,4,4,47,35,82,1987096
2021-03-09,13,16,4,4,53,37,90,2063924
2021-03-10,6,10,2,0,39,18,57,1412578
2021-03-11,14,9,2,2,60,27,87,4460096
2021-03-12,12,13,0,0,46,25,71,2100366
2021-03-13,9,12,4,1,37,26,63,1862449
2021-03-14,7,9,4,0,42,20,62,1603221
2021-03-15,12,21,1,2,50,36,86,2473848
2021-03-16,15,18,1,2,54,36,90,2787359
2021-03-17,16,11,0,1,43,28,71,2632156
2021-03-18,11,12,3,0,50,26,76,2006358
2021-03-19,12,15,4,2,50,33,83,2469369
2021-03-20,9,19,4,5,39,37,76,2113683
2021-03-21,10,11,4,0,46,25,71,2800964
2021-03-22,8,10,3,1,46,22,68,1590478
2021-03-23,16,18,3,8,45,45,90,1963706
2021-03-24,17,14,1,1,57,33,90,3784755
2021-03-25,17,12,1,2,55,32,87,1864153
2021-03-26,9,9,3,0,37,21,58,1284689
2021-03-27,10,13,3,4,53,30,83,2011605
2021-03-28,12,13,2,0,46,27,73,1839236
2021-03-29,11,10,7,3,48,31,79,1294486
2021-03-30,15,14,5,3,59,37,96,2761403
2021-03-31,16,16,5,2,53,39,92,1934866
2021-04-01,20,23,4,0,57,47,104,2321112
2021-04-02,11,16,2,1,52,30,82,2787221
2021-04-03,14,15,6,3,67,38,105,4605982
2021-04-04,13,12,4,2,58,31,89,3091750
2021-04-05,8,12,2,0,54,22,76,2293992
2021-04-06,13,18,0,2,29,33,62,1111124
2021-04-07,16,19,0,4,71,39,110,3102953
2021-04-08,9,16,8,1,66,34,100,2987489
2021-04-09,22,19,3,3,71,47,118,2667742
2021-04-10,10,19,5,2,56,36,92,1614784
2021-04-11,13,13,4,1,53,31,84,2124659
2021-04-12,9,15,4,3,43,31,74,2756777
2021-04-13,10,14,2,2,48,28,76,2582023
2021-04-14,10,7,4,1,38,22,60,1491070
2021-04-15,17,14,4,2,48,37,85,2525731
2021-04-16,17,15,2,2,60,36,96,2847061
2021-04-17,19,14,1,0,60,34,94,3229953
2021-04-18,12,21,4,2,50,39,89,3120327
2021-04-19,16,17,4,0,53,37,90,2852143
2021-04-20,13,19,4,2,63,38,101,3946676
2021-04-21,20,12,3,10,57,45,102,2496372
2021-04-22,19,15,5,3,59,42,101,2870567
2021-04-23,14,20,2,0,53,36,89,2010361
2021-04-24,14,27,4,2,59,47,106,2923971
2021-04-25,15,13,3,1,46,32,78,2252586
2021-04-26,11,10,3,3,47,27,74,3205697
2021-04-27,12,17,6,1,46,36,82,2409523
2021-04-28,14,14,1,3,51,32,83,2563039
2021-04-29,9,11,5,2,41,27,68,1309493
2021-04-30,17,17,3,0,38,37,75,1659277
2021-05-01,15,14,5,2,31,36,67,1412972
2021-05-02,12,11,2,1,56,26,82,2398303
2021-05-03,7,13,2,0,62,22,84,2606469
2021-05-04,11,13,6,6,44,36,80,1558580
2021-05-05,9,9,1,2,42,21,63,2227486
2021-05-06,12,16,4,1,57,33,90,4682992
2021-05-07,20,13,3,2,60,38,98,2528482
2021-05-08,11,19,3,2,62,35,97,2563236
2021-05-09,11,10,2,1,52,24,76,2099726
2021-05-10,14,22,2,3,49,41,90,2792393
2021-05-11,14,24,3,3,57,44,101,3139323
2021-05-12,18,21,4,2,57,45,102,3115561
2021-05-13,10,13,5,3,70,31,101,3203837
2021-05-14,17,10,4,1,56,32,88,2890749
2021-05-15,7,7,0,0,46,14,60,2959467
2021-05-16,13,15,8,0,43,36,79,1699206
2021-05-17,11,20,2,4,44,37,81,1644609
2021-05-18,13,9,4,1,54,27,81,3689787
2021-05-19,12,15,3,4,51,34,85,2324959
2021-05-20,10,16,5,2,50,33,83,2931393
2021-05-21,15,20,4,1,50,40,90,2773481
2021-05-22,13,17,1,1,57,32,89,2988823
2021-05-23,9,10,5,1,55,25,80,2165925
2021-05-24,13,13,5,4,56,35,91,2436010
2021-05-25,14,11,2,3,47,30,77,2797383
2021-05-26,13,10,3,2,52,28,80,1712252
2021-05-27,18,10,3,1,57,32,89,2858255
2021-05-28,12,21,4,1,43,38,81,1444820
2021-05-29,13,18,2,3,60,36,96,2069954
2021-05-30,10,14,1,1,60,26,86,2854762
2021-05-31,16,16,5,0,54,37,91,2701198
2021-06-01,16,25,1,1,60,43,103,3196673
2021-06-02,14,9,3,2,58,28,86,2251731
2021-06-03,14,13,3,3,62,33,95,2864141
2021-06-04,16,20,0,5,56,41,97,3133646
2021-06-05,19,17,2,2,59,40,99,3902291
2021-06-06,16,22,1,2,45,41,86,1794116
2021-06-07,14,9,1,1,61,25,86,2747838
2021-06-08,10,12,1,2,59,25,84,3048615
2021-06-09,16,20,4,0,51,40,91,2755056
2021-06-10,16,24,5,3,46,48,94,2503403
2021-06-11,13,17,4,1,62,35,97,2595626
2021-06-12,21,18,5,1,49,45,94,2443412
2021-06-13,11,14,3,3,60,31,91,2470478
2021-06-14,15,16,3,2,48,36,84,3110138
2021-06-15,14,17,4,1,50,36,86,2399313
2021-06-16,18,18,5,2,58,43,101,2510015
2021-06-17,10,15,4,1,57,30,87,2796685
2021-06-18,15,10,2,1,72,28,100,3631284
2021-06-19,17,16,0,1,51,34,85,2640046
2021-06-20,12,15,7,2,51,36,87,2485052
2021-06-21,9,16,2,0,60,27,87,2933255
2021-06-22,15,14,4,1,61,34,95,2620362
2021-06-23,16,16,2,6,58,40,98,3430487
2021-06-24,15,12,2,3,53,32,85,2035783
2021-06-25,13,19,3,3,68,38,106,2951576
2021-06-26,10,18,3,3,48,34,82,2143153
2021-06-27,12,11,2,0,52,25,77,3341456
2021-06-28,15,15,2,1,63,33,96,3803367
2021-06-29,16,16,1,1,50,34,84,2044900
2021-06-30,12,13,5,2,55,32,87,2295566
2021-07-01,18,15,6,2,57,41,98,2193173
2021-07-02,20,11,1,0,60,32,92,2755884
2021-07-03,17,14,6,2,49,39,88,3493237
2021-07-04,10,16,3,3,48,32,80,2443569
2021-07-05,13,17,3,2,57,35,92,2920577
2021-07-06,11,16,3,2,47,32,79,1654350
2021-07-07,19,18,1,6,65,44,109,4122708
2021-07-08,13,15,2,1,49,31,80,2205451
2021-07-09,19,14,3,5,58,41,99,2510217
2021-07-10,10,11,5,1,54,27,81,2272225
2021-07-11,7,9,2,2,61,20,81,2804233
2021-07-12,13,12,3,2,55,30,85,1885082
2021-07-13,15,17,2,0,45,34,79,2733790
2021-07-14,13,15,1,2,61,31,92,2923780
2021-07-15,18,15,2,1,42,36,78,1957894
2021-07-16,14,12,3,2,47,31,78,2573395
2021-07-17,10,11,1,2,60,24,84,2257052
2021-07-18,8,12,2,1,52,23,75,2229916
2021-07-19,16,13,5,1,60,35,95,3266740
2021-07-20,14,14,1,1,63,30,93,2333333
2021-07-21,11,10,7,0,57,28,85,2507802
2021-07-22,14,14,0,3,50,31,81,2148899
2021-07-23,14,18,0,1,68,33,101,4171617
2021-07-24,15,17,6,2,42,40,82,2070366
2021-07-25,9,10,2,3,54,24,78,2452583
2021-07-26,15,17,4,2,57,38,95,3128817
2021-07-27,13,18,1,4,66,36,102,3413074
2021-07-28,16,12,1,1,68,30,98,3343229
2021-07-29,16,9,3,2,47,30,77,2650936
2021-07-30,18,18,2,0,55,38,93,1699645
2021-07-31,9,12,0,3,59,24,83,3145026
2021-08-01,13,18,5,1,47,37,84,1774376
2021-08-02,12,12,3,1,56,28,84,2852021
2021-08-03,22,14,2,1,54,39,93,3160445
2021-08-04,10,17,4,2,67,33,100,2940095
2021-08-05,10,22,2,3,54,37,91,2277176
2021-08-06,15,18,2,4,61,39,100,3043009
2021-08-07,8,22,2,2,52,34,86,1285823
2021-08-08,13,11,3,2,57,29,86,3685660
2021-08-09,10,22,4,2,52,38,90,2641853
2021-08-10,13,15,2,0,52,30,82,3287512
2021-08-11,14,13,2,2,40,31,71,1633262
2021-08-12,16,15,2,4,50,37,87,2478300
2021-08-13,11,19,5,4,56,39,95,3432709
2021-08-14,17,15,6,1,55,39,94,2772302
2021-08-15,7,20,4,1,50,32,82,2832827
2021-08-16,12,14,2,0,43,28,71,1776994
2021-08-17,11,8,1,1,47,21,68,2313914
2021-08-18,7,5,4,3,39,19,58,2087545
2021-08-19,16,14,4,1,43,35,78,2447534
2021-08-20,6,10,1,4,56,21,77,2960119
2021-08-21,17,19,3,1,65,40,105,4192322
2021-08-22,13,14,3,2,46,32,78,2300022
2021-08-23,13,14,3,4,54,34,88,2259872
2021-08-24,16,14,4,1,50,35,85,2559577
2021-08-25,12,11,2,4,43,29,72,2384854
2021-08-26,12,17,5,1,64,35,99,2602929
2021-08-27,14,20,2,2,64,38,102,2572343
2021-08-28,13,18,3,1,50,35,85,2036677
2021-08-29,14,17,3,2,50,36,86,2732600
2021-08-30,17,11,3,1,56,32,88,2524087
2021-08-31,12,15,4,2,57,33,90,1931018
2021-09-01,17,13,1,3,49,34,83,2135299
2021-09-02,9,19,2,3,62,33,95,3326749
2021-09-03,17,21,5,1,48,44,92,3007361
2021-09-04,9,13,3,0,53,25,78,2980218
2021-09-05,9,10,2,0,54,21,75,3726588
2021-09-06,13,22,1,0,43,36,79,3069650
2021-09-07,10,14,1,3,51,28,79,1880767
2021-09-08,17,15,2,1,55,35,90,2464502
2021-09-09,14,15,3,2,66,34,100,2803572
2021-09-10,12,16,0,3,51,31,82,2654860
2021-09-11,11,18,2,1,43,32,75,1494656
2021-09-12,17,9,0,2,51,28,79,1814123
2021-09-13,11,12,2,0,51,25,76,3085437
2021-09-14,20,17,3,1,54,41,95,2108665
2021-09-15,14,17,1,5,59,37,96,3214897
2021-09-16,17,23,2,3,66,45,111,3991710
2021-09-17,12,20,1,2,53,35,88,2289872
2021-09-18,10,20,9,2,68,41,109,3444155
2021-09-19,9,12,4,1,58,26,84,2559282
2021-09-20,11,15,2,0,56,28,84,2283984
2021-09-21,16,11,5,0,51,32,83,2049174
2021-09-22,17,17,4,1,48,39,87,2550274
2021-09-23,8,14,1,2,49,25,74,2952643
2021-09-24,15,18,4,5,64,42,106,3105429
2021-09-25,21,12,5,3,71,41,112,2907405
2021-09-26,15,10,1,1,57,27,84,2186667
2021-09-27,15,16,1,1,47,33,80,2710189
2021-09-28,12,15,3,2,59,32,91,2399426
2021-09-29,17,19,9,3,52,48,100,2315035
2021-09-30,15,18,2,3,62,38,100,3083316
2021-10-01,11,24,0,2,57,37,94,2411814
2021-10-02,10,11,2,3,55,26,81,1538687
2021-10-03,12,6,0,1,49,19,68,2771860
2021-10-04,11,15,2,4,49,32,81,3746147
2021-10-05,21,16,3,2,50,42,92,3565014
2021-10-06,14,15,8,4,61,41,102,2334777
2021-10-07,15,19,2,1,48,37,85,2709726
2021-10-08,16,15,3,1,76,35,111,3660095
2021-10-09,14,15,2,2,66,33,99,3428170
2021-10-10,19,20,2,1,52,42,94,2482762
2021-10-11,4,11,1,1,32,17,49,2265680
2021-10-12,11,17,1,1,46,30,76,2881425
2021-10-13,19,15,5,1,46,40,86,2082067
2021-10-14,12,17,2,3,63,34,97,3003336
2021-10-15,12,16,3,0,70,31,101,2942775
2021-10-16,12,17,2,2,59,33,92,2119632
2021-10-17,12,19,3,0,49,34,83,3643451
2021-10-18,10,16,0,0,62,26,88,3225214
2021-10-19,10,17,2,2,46,31,77,1652637
2021-10-20,17,19,6,1,60,43,103,3587608
2021-10-21,11,14,3,2,56,30,86,2132638
2021-10-22,8,10,2,2,50,22,72,2734530
2021-10-23,14,21,3,3,49,41,90,1633079
2021-10-24,9,21,1,3,60,34,94,3039530
2021-10-25,12,17,0,3,45,32,77,2793287
2021-10-26,8,16,4,1,44,29,73,2329933
2021-10-27,5,14,3,0,47,22,69,2167980
2021-10-28,10,12,2,1,40,25,65,2497709
2021-10-29,18,16,2,3,43,39,82,3604295
2021-10-30,14,15,2,3,53,34,87,3519384
2021-10-31,10,12,3,3,53,28,81,2170782
2021-11-01,7,19,4,2,69,32,101,2350155
2021-11-02,15,18,2,0,46,35,81,2276644
2021-11-03,16,20,2,2,57,40,97,3347914
2021-11-04,11,8,1,0,51,20,71,1956725
2021-11-05,14,15,1,2,51,32,83,2514804
2021-11-06,8,11,4,2,44,25,69,1824825
2021-11-07,10,13,2,1,39,26,65,1884081
2021-11-08,5,11,3,2,40,21,61,1368195
2021-11-09,19,14,5,3,53,41,94,3343630
2021-11-10,12,22,4,1,51,39,90,1790036
2021-11-11,11,20,5,1,66,37,103,3923014
2021-11-12,12,12,3,2,37,29,66,2428161
2021-11-13,14,21,1,1,51,37,88,2465702
2021-11-14,13,18,1,2,57,34,91,3099619
2021-11-15,11,14,4,2,52,31,83,2038362
2021-11-16,11,17,2,2,61,32,93,4037457
2021-11-17,13,12,2,1,62,28,90,2652735
2021-11-18,18,21,2,0,34,41,75,938594
2021-11-19,11,14,3,5,56,33,89,2866416
2021-11-20,7,19,2,1,62,29,91,3295135
2021-11-21,13,21,2,1,57,37,94,1970593
2021-11-22,13,22,3,1,61,39,100,3766292
2021-11-23,15,18,5,4,64,42,106,3342701
2021-11-24,17,15,4,2,52,38,90,2447028
2021-11-25,20,13,6,1,62,40,102,2785709
2021-11-26,15,20,6,0,63,41,104,3036989
2021-11-27,17,20,5,5,52,47,99,3233531
2021-11-28,9,15,0,2,46,26,72,2332430
2021-11-29,8,27,5,4,57,44,101,2989403
2021-11-30,11,20,3,1,42,35,77,2059758
2021-12-01,12,16,3,5,65,36,101,3435448
2021-12-02,18,14,0,2,49,34,83,2404157
2021-12-03,9,11,3,1,71,24,95,4908270
2021-12-04,10,11,4,1,54,26,80,2002498
2021-12-05,8,16,7,1,49,32,81,3390918
2021-12-06,14,14,4,1,51,33,84,2252911
2021-12-07,7,15,1,1,75,24,99,2872621
2021-12-08,16,16,1,2,54,35,89,2816376
2021-12-09,14,15,3,3,57,35,92,2172373
2021-12-10,10,18,3,2,58,33,91,3374703
2021-12-11,12,17,1,1,53,31,84,2143547
2021-12-12,13,12,3,2,58,30,88,3040056
2021-12-13,8,15,5,1,52,29,81,4044105
2021-12-14,14,13,4,3,61,34,95,2613687
2021-12-15,10,15,6,3,62,34,96,3044622
2021-12-16,8,16,3,0,43,27,70,2412741
2021-12-17,12,14,6,4,51,36,87,2176665
2021-12-18,13,23,3,2,57,41,98,3324357
2021-12-19,13,14,8,2,62,37,99,2505657
2021-12-20,10,12,3,1,51,26,77,2763678
2021-12-21,10,13,0,4,49,27,76,1384076
2021-12-22,13,21,4,1,51,39,90,3798865
2021-12-23,11,15,3,5,54,34,88,1625767
2021-12-24,13,17,4,3,72,37,109,3748289
2021-12-25,20,21,1,1,63,43,106,3393623
2021-12-26,13,21,2,1,51,37,88,2575149
2021-12-27,8,11,3,1,53,23,76,2055584
2021-12-28,9,16,5,0,47,30,77,2356403
2021-12-29,17,20,3,3,55,43,98,3165103
2021-12-30,12,12,2,3,58,29,87,3644473
2021-12-31,9,15,4,3,57,31,88,1997229
2022-01-01,12,12,4,2,48,30,78,3145356
2022-01-02,9,12,2,3,55,26,81,2347235
2022-01-03,13,9,2,1,49,25,74,3433059
2022-01-04,9,14,3,3,57,29,86,3229303
